timestamp,dataset_name,execution_type,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
2025-10-29 15:00:26,airfoil,slim no_simplif,61.3065,59.26421,59.18918,67,15,61.90238,59.9808,59.90431,49,14,62.58715,60.80151,60.72253,45,13
2025-10-29 15:00:29,bike_sharing,slim no_simplif,0.0901,0.08745,0.10739,45,15,0.09715,0.09514,0.10908,37,13,0.12146,0.12305,0.13448,29,11
2025-10-29 15:00:32,bioavailability,slim no_simplif,44.01269,40.93353,47.48947,39,15,44.62096,41.59449,48.09635,31,13,45.49184,42.4464,48.94433,27,12
2025-10-29 15:00:35,boston,slim no_simplif,8.57996,8.35299,9.26865,51,15,8.66817,8.41125,9.29424,41,14,8.97436,8.65971,9.46378,33,12
2025-10-29 15:00:38,breast_cancer,slim no_simplif,0.30951,0.3356,0.35115,37,14,0.32721,0.35024,0.38199,7,7,0.40017,0.44025,0.44505,3,2
2025-10-29 15:00:41,concrete_slump,slim no_simplif,9.81522,9.71829,8.32043,65,15,9.87453,9.51421,8.59775,47,14,10.09824,9.74996,8.75027,37,13
2025-10-29 15:00:44,concrete_strength,slim no_simplif,22.18445,21.73296,22.55119,47,15,23.01101,22.58589,23.38273,39,14,24.20616,23.81262,24.58124,29,12
2025-10-29 15:00:47,diabetes,slim no_simplif,146.86444,153.48999,143.85237,75,15,147.60051,154.25818,144.63931,51,14,148.35442,155.04031,145.38928,37,13
2025-10-29 15:00:49,efficiency_cooling,slim no_simplif,8.14397,7.4671,7.10573,55,15,8.44384,7.67647,7.358,51,14,9.43127,8.49874,8.28275,45,13
2025-10-29 15:00:52,efficiency_heating,slim no_simplif,7.83146,6.96134,7.03299,61,15,8.05019,7.05392,7.19971,49,14,8.61567,7.49913,7.7208,43,13
2025-10-29 15:00:57,forest_fires,slim no_simplif,1.29549,1.52739,1.50954,39,15,1.30692,1.50696,1.49468,23,11,1.33056,1.50707,1.47413,11,8
2025-10-29 15:01:00,istanbul,slim no_simplif,0.01603,0.01547,0.01757,15,9,0.01685,0.01669,0.01905,11,8,0.01855,0.01941,0.02186,5,3
2025-10-29 15:01:03,parkinson_updrs,slim no_simplif,10.76981,10.8054,10.84185,55,15,10.83737,10.85242,10.91502,39,13,10.94985,10.94707,11.0313,33,12
2025-10-29 15:01:06,ppb,slim no_simplif,38.82658,41.54082,39.16484,39,15,39.89012,42.5747,40.26563,31,13,40.54214,43.20377,40.93554,27,12
2025-10-29 15:01:09,resid_build_sale_price,slim no_simplif,132.88054,115.05141,122.71186,41,15,133.08997,115.16513,123.02057,31,13,133.39853,115.34795,123.46151,23,11
